ExamScore,EikenCSE
68,1322
39,1152
54,1343
40,1163
40,607
49,757
59,1311
56,1126
80,1252
68,1350
37,612
50,1183
46,1161
35,685
76,1235
29,579
23,591
78,1443
48,1408
66,1310
69,1340
80,1398
70,1434
32,1143
60,1231
51,1326
37,644
56,1078
69,1305
52,1326
47,1091
54,1237
40,1248
60,1217
84,1548
44,652
33,649
57,1183
62,1364
51,1260
42,698
54,1310
73,1336
61,759
42,1171
49,1189
47,665
50,1303
46,682
56,1248
49,689
59,1170
39,1278
70,1476
69,1162
41,1113
55,1321
35,1169
75,1357
30,606
64,1320
69,1418
63,1436
74,849
40,1273
49,1172
66,1509
52,1216
93,1685
63,1345
43,664
43,661
77,1452
62,1276
53,1186
40,1170
48,633
79,1402
72,1468
24,995
55,1225
43,897
46,1166
41,1242
40,644
72,1381
47,1175
61,1195
53,725
46,1183
56,1418
59,1252
76,1594
38,720
28,563
29,651
35,966
31,629
61,1206
48,1126
59,1200
77,1211
38,952
47,1145
41,1176
30,680
58,1221
74,1349
61,715
46,1283
71,1371
36,684
54,1084
76,1397
55,1276
52,1229
41,1049
50,746
76,1294
47,1153
45,1304
42,1052
50,1178
58,1276
51,1307
52,1217
45,1167
42,1055
85,1514
56,1219
44,1206
56,1303
65,1323
34,642
47,1234
55,1381
49,1199
69,1248
40,641
29,1102
64,1306
40,1017
43,1131
71,1332
50,1383
46,592
38,1102
68,1375
67,1318
57,1341
56,1201
49,746
64,1646
55,731
53,1243
61,1172
27,588
25,592
55,797
36,1085
44,1100
49,1131
56,735
77,1430
66,1424
54,1160
48,1117
28,564
50,1276
73,877
71,1352
43,1051
47,725
69,1370
59,1202
75,1366
40,642
58,694
74,1269
60,711
83,1245
70,1291
47,1118
54,1014
76,1305
61,1167
54,726
61,827
60,723
42,692
66,1172
42,677
65,743
59,1012
73,1295
51,687
54,657
70,755
86,1405
55,1137
50,683
51,669
56,1153
70,674
27,568
59,1041
50,877
57,1075
39,582
61,749
57,1152
71,1101
64,1013
70,1212
48,954
70,1252
60,1281
38,599
61,1031
52,1054
89,1421
74,1247
42,587
67,1103
57,1336
41,689
51,636
88,1366
60,1071
66,1125
60,751
79,1171
97,1697
49,701
59,710
40,522
57,981
54,689
56,1088
68,1109
84,1527
74,1152
76,1069
78,1436
63,1143
56,771
51,664
48,623
41,700
46,683
57,1086
45,579
75,1260
51,652
66,1097
86,812
69,1260
58,653
87,1588
51,1030
64,1340
64,1122
52,689
46,1004
63,1125
49,854
52,1109
53,667
58,1011
40,605
68,1107
54,756
41,550
58,1072
57,976
46,872
46,1016
86,1294
78,1387
53,1006
43,669
55,1010
47,987
71,1124
54,631
70,1111
55,658
48,626
52,1107
69,1188
66,1273
52,678
80,1028
75,1132
49,1265
70,1193
69,1348
67,1127
48,647
53,636
54,1040
70,1273
62,986
78,1424
73,1272
69,1181
42,1146
26,572
70,1231
62,1280
65,1437
40,585
82,1254
58,684
64,798
64,1074
58,1120
39,613
72,1268
46,683
69,1147
60,773
54,1155
77,1168
60,1079
85,1453
73,794
62,1048
49,1086
61,1025
34,618
